metric,value
centerline_count,656623
centerline_crs,EPSG:4326
centerline_bbox.ymin,36.4943020003505
centerline_bbox.xmax,-75.3277053651768
prediction_count,720
prediction_crs,EPSG:4326
prediction_bbox.xmin,-80.020477099405
prediction_bbox.ymin,36.7139262582974
prediction_bbox.xmax,-75.9065536293809
prediction_bbox.ymax,38.9796239518252
sample_distances1,2458.29957978505
sample_distances2,53.059160982169
sample_distances3,230.291326283849
sample_distances4,895.319042663227
sample_distances5,37.5334282578676
sample_distances6,14.4058529875599
sample_distances7,3.1410034218405
sample_distances8,85.3884659731492
sample_distances9,0.924964817886727
sample_distances10,15.5211993120719
sample_distances11,33.8396257729192
sample_distances12,4.07028353846495
sample_distances13,121.78155660569
sample_distances14,1.77964739098455
sample_distances15,1576.32579649601
sample_distances16,21.6262127624155
sample_distances17,3.26244521986817
sample_distances18,135.432400299345
sample_distances19,10.2714961205006
sample_distances20,10.8613393466674
sample_distances21,1346.22178130389
sample_distances22,18.0634544326874
sample_distances23,132.566139190033
sample_distances24,877.749857495114
sample_distances25,264.320176266162
sample_distances26,143.59710086862
sample_distances27,320.620074028131
sample_distances28,193.265556384666
sample_distances29,194.750807093482
sample_distances30,1.53425144191791
sample_distances31,21.7538433278052
sample_distances32,156.10229324689
sample_distances33,4.26679645768193
sample_distances34,52.9885005788399
sample_distances35,23.7538782900662
sample_distances36,4.69291118375721
sample_distances37,27.438979539242
sample_distances38,456.846094162445
sample_distances39,10.5474022817854
sample_distances40,161.784455137155
sample_distances41,10.4792422326128
sample_distances42,17.6216608564376
sample_distances43,270.913156644454
sample_distances44,15.1435847484025
sample_distances45,5440.77061894948
sample_distances46,264.762026508284
sample_distances47,4.07158140192642
sample_distances48,3552.24527329834
sample_distances49,65.6169262597689
sample_distances50,21.1122599368947
sample_distances51,33.8462328081328
sample_distances52,13.9670980787988
sample_distances53,20.3804117355605
sample_distances54,64.6435551651303
sample_distances55,33.0852253714261
sample_distances56,39.2217445608012
sample_distances57,186.524946070495
sample_distances58,33.574433862476
sample_distances59,22.3594758600604
sample_distances60,36.4625186851829
sample_distances61,14.3866756272333
sample_distances62,1.77237581309285
sample_distances63,535.961543209762
sample_distances64,45.5672034779862
sample_distances65,40.0911629185139
sample_distances66,32.1033895436793
sample_distances67,30.7016650287965
sample_distances68,4.01679343017064
sample_distances69,1076.36155887016
sample_distances70,101.84822799605
sample_distances71,544.084223987198
sample_distances72,87.9938026644935
sample_distances73,0.271439732151499
sample_distances74,47.5874773453119
sample_distances75,49.3213230095289
sample_distances76,19.9199454695305
sample_distances77,79.7284397152739
sample_distances78,358.662616490368
sample_distances79,8.25486232439026
sample_distances80,19.0643508993563
sample_distances81,36.4422376118282
sample_distances82,13.0855833445738
sample_distances83,154.118242983345
sample_distances84,208.180349747482
sample_distances85,10.491439118699
sample_distances86,1.13900355182767
sample_distances87,58.1285967523623
sample_distances88,17.4406694293819
sample_distances89,79.8445994672552
sample_distances90,80.3908045134513
sample_distances91,3.32870031768155
sample_distances92,17.1129094895631
sample_distances93,105.34049108497
sample_distances94,15.9159007222927
sample_distances95,19.7963197059646
sample_distances96,116.150921689224
sample_distances97,142.135368855181
sample_distances98,10.4453466586939
sample_distances99,1820.84786361623
sample_distances100,1321.03039782089
